,area,eccentricity,solidity
0,486.0,0.595830387463941,0.8154362416107382
1,126.0,0.5377952824996608,0.8571428571428571
2,1439.0,0.7967205734391742,0.8134539287733182
3,800.0,0.6815356408878587,0.8888888888888888
4,650.0,0.6472722026939566,0.7057546145494028
5,1784.0,0.7331610515999006,0.8431001890359168
6,1394.0,0.6216955135143415,0.8233904311872415
7,330.0,0.3523739277019344,0.889487870619946
8,3562.0,0.6365210274127354,0.9249545572578551
9,4352.0,0.44779624124127665,0.9450597176981542
10,4369.0,0.8508077936439623,0.8936387809367969
11,2889.0,0.6971553474915334,0.8641938378701765
12,289.0,0.6660003995882791,0.8072625698324022
13,331.0,0.8148454502856757,0.8487179487179487
14,1015.0,0.7755640348172677,0.8430232558139535
15,863.0,0.6952047420305184,0.9132275132275133
16,143.0,0.6559064710736906,0.7688172043010753
17,231.0,0.785161298286379,0.6346153846153846
18,826.0,0.4939247953438721,0.7934678194044188
19,923.0,0.8216534776334914,0.9004878048780488
20,336.0,0.4991042682042411,0.9411764705882353
21,2683.0,0.3749738865373379,0.8392242727557084
22,270.0,0.8945109403694727,0.6699751861042184
23,321.0,0.7860523654195747,0.9668674698795181
24,1569.0,0.8493182158121136,0.7900302114803626
25,706.0,0.3761531131290079,0.8266978922716628
26,1339.0,0.7684076454485412,0.923448275862069
27,902.0,0.48453350785521343,0.9445026178010472
28,471.0,0.6335674563303203,0.8853383458646616
29,2825.0,0.6645604131293631,0.9107027724049
30,505.0,0.7931517430300065,0.9283088235294118
31,1981.0,0.8923482680667593,0.9701273261508325
32,1252.0,0.7015257194063468,0.7652811735941321
33,7152.0,0.7004102574607286,0.8984924623115578
34,2498.0,0.7560018584858303,0.8946991404011462
35,2116.0,0.7472641707491445,0.8743801652892562
36,278.0,0.7990732338591956,0.8660436137071651
37,659.0,0.8648085569200686,0.9307909604519774
38,1537.0,0.7254520746758142,0.8956876456876457
39,450.0,0.9135425868364412,0.9533898305084746
40,13933.0,0.7466848885253278,0.8854782332380045
41,744.0,0.7778498660097538,0.8867699642431466
42,221.0,0.5728624847309808,0.876984126984127
43,493.0,0.9085380040865684,0.8042414355628059
44,572.0,0.5562766674755106,0.9064976228209192
45,3223.0,0.8987907122510258,0.7884050880626223
46,170.0,0.7425744073645179,0.8629441624365483
47,2175.0,0.834399858068474,0.9173344580345846
48,1138.0,0.8042164888550154,0.8048090523338048
49,239.0,0.6782945603672705,0.7887788778877888
50,1046.0,0.7377020617937767,0.855973813420622
51,367.0,0.79457857148166,0.8137472283813747
52,2969.0,0.5389278735786779,0.8937387116195064
53,103.0,0.5138538916332546,0.944954128440367
54,50.0,0.951903697691124,0.9433962264150944
55,2782.0,0.440144071063554,0.8908101184758245
56,1056.0,0.8078189523998321,0.8677074774034511
57,423.0,0.6774434866304329,0.8545454545454545
58,549.0,0.7796037016262131,0.9104477611940298
59,139.0,0.856294240906124,0.7091836734693877
60,491.0,0.7468755213251244,0.8992673992673993
61,1257.0,0.40633947344314336,0.7398469688051795
62,114.0,0.6503842262272691,0.8507462686567164
63,343.0,0.8104883098705539,0.8575
64,162.0,0.8967350322831804,0.6254826254826255
65,1767.0,0.7939961192700008,0.9551351351351351
66,478.0,0.8437522431415437,0.9502982107355865
67,1271.0,0.7573409323982397,0.8501672240802676
68,614.0,0.49951898258830246,0.8976608187134503
69,681.0,0.5122633908339267,0.9328767123287671
70,963.0,0.5549851153162785,0.8851102941176471
71,324.0,0.8202750871613964,0.7363636363636363
72,903.0,0.7911633826970825,0.9252049180327869
73,444.0,0.5696701008825268,0.8425047438330171
74,614.0,0.7565499096917272,0.8154050464807437
75,79.0,0.501858646605129,0.8315789473684211
76,5434.0,0.6318013763016742,0.9149688499747433
77,1611.0,0.6868717974186784,0.9279953917050692
78,741.0,0.5470020183606369,0.9136868064118372
79,894.0,0.8538315725354676,0.8339552238805971
80,388.0,0.658584567205507,0.7713717693836978
81,164.0,0.75871773586415,0.8586387434554974
82,32.0,0.7837888268542219,0.8648648648648649
83,2.0,1.0,1.0
84,176.0,0.19028898233554523,0.9025641025641026
85,620.0,0.4982522945177276,0.8819345661450925
86,704.0,0.5684472564239506,0.8533333333333334
87,77.0,0.6399199904527235,0.8953488372093024
88,385.0,0.9111561522058557,0.8442982456140351
89,609.0,0.42157850276138875,0.9049034175334324
90,2418.0,0.7773109980515157,0.9012299664554603
91,25.0,0.6249128029922598,0.9615384615384616
92,41.0,0.6143021453087717,0.9318181818181818
93,256.0,0.7188525529774227,0.628992628992629
94,298.0,0.789237289738277,0.8948948948948949
95,106.0,0.48665471905430113,0.9137931034482759
96,2444.0,0.5534594741167194,0.9222641509433962
97,429.0,0.5719018834902915,0.8281853281853282
98,796.0,0.9636680505869109,0.7728155339805826
99,2576.0,0.6248857400512975,0.7763713080168776
100,925.0,0.6985615606117559,0.9050880626223092
101,162.0,0.6363734887433219,0.9204545454545454
102,1480.0,0.679588688268809,0.8295964125560538
103,4567.0,0.533401503064525,0.8512581547064305
104,2829.0,0.7223586867339207,0.9185064935064935
105,998.0,0.7839330443078498,0.9072727272727272
106,93.0,0.8032720838435962,0.7099236641221374
107,1109.0,0.8805292682602889,0.7095329494561741
108,335.0,0.9079016473198035,0.8052884615384616
109,604.0,0.8229961666092444,0.7823834196891192
110,186.0,0.594477115003091,0.6888888888888889
111,195.0,0.8537325592484941,0.6701030927835051
112,628.0,0.8462487579739851,0.7040358744394619
113,490.0,0.5347807877963152,0.9074074074074074
114,142.0,0.9446433772702932,0.7244897959183674
115,27710.0,0.2745779705893946,0.8848511942776855
116,2654.0,0.206183821060429,0.8837828837828838
117,6.0,0.8703882797784891,1.0
118,14.0,0.6496331776267846,0.875
119,254.0,0.8750765286862273,0.7720364741641338
120,1468.0,0.7837773732353861,0.8
121,300.0,0.7542690096485144,0.8771929824561403
122,2.0,1.0,1.0
123,1274.0,0.8403395017265776,0.8326797385620915
124,34.0,0.7823470321050563,0.9444444444444444
125,875.0,0.8537088549395458,0.7543103448275862
126,24.0,0.7189505205396393,0.8571428571428571
127,31.0,0.6591173561106018,0.8378378378378378
128,30.0,0.4805871147722538,0.7894736842105263
129,487.0,0.7744807437385861,0.8440207972270364
130,241.0,0.7475754776769354,0.9128787878787878
131,112.0,0.8650307726766375,0.8421052631578947
132,216.0,0.8206522353034387,0.7854545454545454
133,257.0,0.6947850522524135,0.8986013986013986
134,64.0,0.8956641084146131,0.8421052631578947
135,4456.0,0.42839587050318734,0.8830757035275466
136,300.0,0.7528485231253527,0.7211538461538461
137,1708.0,0.940538022592686,0.7951582867783985
138,4215.0,0.6804411898828733,0.8256611165523996
139,385.0,0.5314719365694734,0.7684630738522954
140,234.0,0.8191152561099779,0.6685714285714286
141,139.0,0.7239959262406993,0.8273809523809523
142,738.0,0.8302045630561755,0.8320180383314544
143,392.0,0.6784561693602801,0.7983706720977597
144,401.0,0.7027248359381494,0.7425925925925926
145,845.0,0.517614442706461,0.8458458458458459
146,1024.0,0.6913280390867875,0.7710843373493976
147,356.0,0.6400546549697279,0.994413407821229
148,5.0,1.0,1.0
